用户说话,车辆反馈,动作序列,,
天气好热,确实很热呢。为您关闭窗户和天窗遮阳帘，将空调设置为制冷模式，风速调整为2。 另外，氛围灯也换成蓝色的，给您营造一种凉爽的氛围感。,关闭全部车窗，关闭天窗，空调设置为制冷模式，空调风速调整为二档，设置氛围灯颜色为红色,,
热得难受,确实很热呢。为您关闭窗户和天窗遮阳帘，将空调设置为制冷模式，风速调整为2。 另外，氛围灯也换成蓝色的，给您营造一种凉爽的氛围感。,关闭全部车窗，关闭天窗，空调设置为制冷模式，空调风速调整为二档，设置氛围灯颜色为蓝色,,
来点风,将空调的风速设置为3并关上车窗，通过闪烁的氛围灯来为您营造通风的氛围感。,空调风速调整为三档，设置氛围灯闪烁模式,,
把风调大一些,为您调大风量。 目前风速为5。 另外窗户也关闭。,空调风速调整为五档，关闭全部车窗,,
播放音乐,好的。 现在播放音乐。 另外我将为您关车窗，以便您可以更好的享受音乐。,播放舒缓音乐，关闭全部车窗,,
来点轻松的音乐,好的。 为您关上车窗，将空调的风速设置为2，并播放轻松的音乐，营造舒适的氛围。,关闭全部车窗，设置空调风速2档，播放舒缓音乐,,
稍微打开点暖风,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
有点冷,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
窗稍微打开一点,好的。为您关掉空调并打开窗户。 呼吸外面的空气，会让心情会变好哦。,"关闭空调,打开全部车窗",,
打开座椅加热器,好的，确实有点冷呢，为您关闭车窗并打开座椅加热器。 通过添加红色环境光来营造温暖的氛围感。,关闭全部车窗，设置主驾座椅加热模式1档，设置副驾座椅加热模式1档，设置氛围灯颜色为红色,,
冷,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
有点冷了,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
让我放松一下,您辛苦了。 将车内照明设置为暖色，空调调整到适宜的温度。另外为您把副驾驶座的座椅放倒一点，听着钢琴曲好好休息一下吧。,设置氛围灯颜色为黄色，设置主驾空调温度为26度，副驾座椅往后调节，播放钢琴曲,,
累了,知道了，听起来您很疲惫。 将为您打开蓝色氛围灯，将空调调到合适的温度，副驾驶的座椅也为您稍稍放倒，听着钢琴曲休息一下吧。,"设置氛围灯颜色为蓝色,设置空调风速1档,设置主驾座椅靠背往前调节,播放钢琴曲",,
有点暗,好的。 打开氛围灯，调亮调光玻璃，为您营造一个明亮的环境。,"打开氛围灯,前排调光玻璃调亮,后排调光玻璃调亮",,
我有点在意下雨的声音,关上车窗，并播放音乐，为您营造一个舒适的环境。,关闭全部车窗，播放舒缓音乐,,
下雨了,好像下雨了。为您关闭车窗并将雨刮器置于自动模式。请小心安全驾驶。,关闭全部车窗，前雨刷间歇摆动,,
看不清前面,为您打开挡风玻璃雨刮器和挡风玻璃除霜器，并打开大灯。 请小心安全驾驶。,"前雨刷高速摆动,打开远光灯,打开除霜模式",,
我累了，给我按摩,您辛苦了。因为没有按摩功能，所以将为您调整座椅靠背。 此外，将车内的照明调成暖色，并将空调调到合适的温度，营造轻松的氛围。,"关闭主驾座椅按摩,设置副驾座椅加热模式1档,设置氛围灯颜色为黄色,设置空调风速3档,设置主驾座椅靠背往后调节",,
打开通风,为您稍微打开天窗并将空调设置为通风模式。,"打开天窗,设置空调风速1档,关闭空调制热模式,关闭空调风扇",,
副驾很冷,好的。 为您打开副驾驶的座椅加热器，并调高空调温度。,"设置副驾座椅加热模式1档,设置主驾空调温度高于当前温度",,
把车内亮度调暗,好的。将关闭氛围灯并调暗调光玻璃。，为您营造一个稍暗的环境。,"关闭氛围灯,前排调光玻璃调暗,后排调光玻璃调暗",,
将空调温度调低,好的。 为您将空调的温度降低2度并关闭座椅加热器,"设置主驾空调温度,设置副驾空调温度,关闭主驾座椅加热模式,关闭副驾座椅加热模式",,
外面很吵,您是想保持安静吗。 将为您关上所有窗户，打开空调，播放轻柔的古典音乐。,关闭全部车窗，打开空调，播放舒缓音乐,,
有没有危险区域？,您是担心危险区域吗？ 将为您关上车窗并打开危险区域警告系统，以便您可以安全驾驶。,关闭全部车窗，启动同步模式,,
进入隧道前打开灯,打开前灯，关上车窗，并将空调切换到空气内循环模式。 在开出隧道时会恢复到原来的设置。,"打开位置灯,关闭全部车窗,设置空气循环模式为内循环",,
进隧道前开灯,好的。打开前灯，关上车窗，并将空调切换到室内空气模式。 在开出隧道时会恢复到原来的设置。,打开位置灯，关闭全部车窗，设置空气循环模式为内循环,,
进隧道了,为您打开前灯，关上车窗，将空调切换到室内空气模式。 在开出隧道后会恢复到原来的设置。,打开位置灯，关闭全部车窗，设置空气循环模式为内循环,,
有雾看不见,好的。为您打开雾灯和调整自动驾驶的车速。 为了安全请小心驾驶。,"打开雾灯,启动同步模式",,
雾很浓,由于雾很浓，将为您打开雾灯并调整自动驾驶的速度。为了安全请小心驾驶。,"打开位置灯,调整自动驾驶速度",,
屏蔽外部声音,好的。将为您关上所有窗户，打开空调，播放轻柔的古典音乐。,关闭全部车窗，打开空调，播放舒缓音乐,,
想凉快一点,好的！ 将为您打开空调制冷模式，并将风速调节到3 档。 此外，环境光也设置为蓝色，为您营造凉爽的氛围感。,"打开空调,设置空调制热模式,设置空调风速3档,设置氛围灯颜色为蓝色",,
我妈妈上车了,为了给妈妈提供舒适的空间，我将把空调设置为冷风并将风速调节到 3 级。 此外，还会播放轻松的音乐并启动副驾座椅上的按摩功能。,"设置空调制热模式,关闭,设置空调风速3档,播放舒缓音乐,打开副驾座椅按摩",,
我买东西买累了,您幸苦了。 来放松一下把。 我将为您打开冷空调，并将风速设置为 3 级。 还会为您播放轻松的音乐并打开驾驶员座椅上的按摩功能。,"打开冷空调,设置空调风速3档,播放舒缓音乐,打开主驾座椅按摩",,
购物累了,您幸苦了。 来放松一下把。 我将为您打开冷空调，并将风速设置为 3 级。 还会为您播放轻松的音乐并打开驾驶员座椅上的按摩功能。,"打开冷空调,设置空调风速3档,播放舒缓音乐,打开主驾座椅按摩",,
买东西买的好累,您幸苦了。 来放松一下把。 我将为您打开冷空调，并将风速设置为 3 级。 还会为您播放轻松的音乐并打开驾驶员座椅上的按摩功能。,"打开冷空调,设置空调风速3档,播放舒缓音乐,打开主驾座椅按摩",,
我买了太多东西，累死了。,您幸苦了。 来放松一下把。 我将为您打开冷空调，并将风速设置为 3 级。 还会为您播放轻松的音乐并打开驾驶员座椅上的按摩功能。,"打开冷空调,设置空调风速3档,播放舒缓音乐,打开主驾座椅按摩",,
今天是我们的结婚纪念日。,结婚纪念日快乐！ 我将为您把空调设定为制冷，风速设定为 3 级。 另外，播放柔和的音乐和启动乘客座椅上的按摩功能，让您进入放松模式。 环境光也设置为粉红色，为您营造浪漫的氛围。,"空调设置为制冷模式,设置空调风速3档,播放舒缓音乐,打开副驾座椅按摩,设置氛围灯颜色为红色",,
今天是我们的结婚纪念日,结婚纪念日快乐！ 我将为您把空调设定为制冷，风速设定为 3 级。 另外，播放柔和的音乐和启动乘客座椅上的按摩功能，让您进入放松模式。 环境光也设置为粉红色，为您营造浪漫的氛围。,"空调设置为制冷模式,设置空调风速3档,播放舒缓音乐,打开副驾座椅按摩,设置氛围灯颜色为红色",,
我想去月球,想要去月球的话，您首先需要乘坐宇宙飞船，但在此之前，您还需要做好准备和计划。我将为您把环境灯设置为黄色，再放一首可以富有冒险的音乐，让我们先在车内制定一下计划吧。,设置氛围灯颜色为黄色，播放歌剧音乐,,
我想去火星,要到达火星，您首先需要乘坐宇宙飞船，但在此之前，您需要做好准备和计划。 播放音乐营造冒险的心情，将环境灯设置为红色，并在车内进行规划。,"播放流行音乐,设置氛围灯颜色为红色,打开导航",,
下雨了。,好的。 由于湿度很大，我将为您把空调切换到除湿模式，关上车窗并播放安静的音乐。 还会帮您打开速度警报，以帮助您安全驾驶。 请注意安全小心驾驶。,"关闭全部车窗,设置空调为除湿模式,播放舒缓音乐,打开速度警报",,
下雨了。,好的。 由于湿度很大，我将为您把空调切换到除湿模式，关上车窗并播放安静的音乐。 还会帮您打开速度警报，以帮助您安全驾驶。 请注意安全小心驾驶。,"关闭全部车窗,设置空调为除湿模式,播放舒缓音乐,打开速度警报",,
下雨了。,好的。 由于湿度很大，我将为您把空调切换到除湿模式，关上车窗并播放安静的音乐。 还会帮您打开速度警报，以帮助您安全驾驶。 请注意安全小心驾驶。,"关闭全部车窗,设置空调为除湿模式,播放舒缓音乐,打开速度警报",,
开始下雨了,好的。 由于湿度很大，我将为您把空调切换到除湿模式，关上车窗并播放安静的音乐。 还会帮您打开速度警报，以帮助您安全驾驶。 请注意安全小心驾驶。,"关闭全部车窗,设置空调为除湿模式,播放舒缓音乐,打开速度警报",,
下雨了,好像下雨了。为您关闭车窗并将雨刮器置于自动模式。请小心安全驾驶。,关闭全部车窗，前雨刷间歇摆动,,
我妻子生气了,您的夫人好像生气了。 为了让您的妻子心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调风速1档,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
我太太生气了,您的夫人好像生气了。 为了让您的妻子心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调风速1档,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
我老婆很生气,您的夫人好像生气了。 为了让您的妻子心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调风速1档,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
我老婆很生气,您的夫人好像生气了。 为了让您的妻子心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调风速1档,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
我老婆心情不好,您的夫人好像生气了。 为了让您的妻子心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调风速1档,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
女朋友很生气,听起来您的女朋友好像生气了。 为了让您的女朋友心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调风速1档,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
女朋友很生气,听起来您的女朋友好像生气了。 为了让您的女朋友心情好一些，我将把空调设置为制冷并播放舒缓的音乐。 另外，通过打开按摩功能来营造有趣的氛围。,"设置空调制热模式,关闭,播放舒缓音乐,打开主驾座椅按摩,打开副驾座椅按摩",,
我的女朋友很生气,听起来她很生气。 为了帮助她保持好心情，请将空调调成凉爽并播放舒缓的音乐。 此外，添加按摩功能以营造有趣的氛围。,"设置空调风速2档,打开空调制热模式,关闭空调制热模式,设置空调风速2档,播放舒缓音乐,打开主驾座椅按摩",,
我想吃薯条,我将为您导航到最近的麦当劳。 同时播放音乐，将氛围灯调成黄色来营造麦当劳的氛围。请在买到薯条之前再忍耐一下饥饿吧 。,"打开导航,播放流行音乐,设置氛围灯颜色为黄色",,
我想吃麦当劳的薯条,我将为您导航到最近的麦当劳。 同时播放音乐，将氛围灯调成黄色来营造麦当劳的氛围。请在买到薯条之前再忍耐一下饥饿吧 。,"打开导航,播放流行音乐,设置氛围灯颜色为黄色",,
我想吃西红柿,抱歉，车载助手的功能不包括提供食物或获取西红柿，让我来帮您导航到附近的超市吧。,"打开导航,导航到附近的超市",,
有些困了,您辛苦了。 我将为您把车内的灯光设置为暖色，空调也调节到适当的温度。另外为您把副驾驶座的座椅稍稍放倒，听着钢琴曲好好休息一下吧。,"设置氛围灯颜色为黄色,设置空调风速2档,设置主驾座椅靠背往前调节,播放钢琴曲",,
吃太多了，有点困了。,您辛苦了。 我将为您把车内的灯光设置为暖色，空调也调节到适当的温度。另外为您把副驾驶座的座椅稍稍放倒，听着钢琴曲好好休息一下吧。,"设置氛围灯颜色为黄色,设置空调风速2档,设置主驾座椅靠背往前调节,播放钢琴曲",,
电量够吗,电量良好。 请放心，我们将监控您到达目的地为止的剩余电量。 当电量不足时，会自动切换到环保模式并建议附近的充电站。,打开导航，启动同步模式,,
有人故意挑衅我,危险。 我将为您自动锁门和关闭窗户，以确保乘客的安全。 此外，打开相机进行录像和帮您报警。,关闭主驾车门，关闭副驾车门，关闭全部车窗，打开摄像头，呼叫紧急服务,,
我被人故意挑衅了，救命,危险。 我将为您自动锁门和关闭窗户，以确保乘客的安全。 此外，打开相机进行录像和帮您报警。,关闭主驾车门，关闭副驾车门，关闭全部车窗，打开摄像头，呼叫紧急服务,,
快到圣诞节了。,为了让您有圣诞节的氛围，我将把氛围灯调成红色并播放有趣的音乐。 祝您圣诞快乐。,"设置氛围灯颜色为红色,播放流行音乐",,
出发吧,帮您关上车门并调整座椅靠背，不要忘记系安全带哦，让我们一起愉快的开车吧。,关闭主驾车门，关闭副驾车门，主驾座椅靠背往后调节，副驾座椅靠背往后调节，提醒用户系安全带,,
哪有停车场吗？,我将查找附近的停车场信息并导航给您。 现在有点堵车，让我们来边听着音乐边去吧。,"打开导航,播放流行音乐",,
轮胎好像漏气了，请帮帮我,请握紧方向盘慢慢减速。 打开双闪灯。我将把当前位置信息告知道路救援。请等待道路救援的到来。,握紧方向盘慢慢减速，打开双闪灯，导航，关闭空调风扇,,
刚才是地震了吗？,是的，刚才发生了地震，海啸信息也将显示在中央显示屏上。 另外还为您将导航目的地更改为山上。,打开导航，设置导航目的地为山上，显示海啸信息在中央显示屏上,,
堵车好无聊,堵车幸苦了。为您播放轻松的音乐，并开启按摩功能，来转换一下心情把。,播放舒缓音乐，打开主驾座椅按摩,,
我想喝咖啡,我帮您导航咖啡店吧。并且调整空调温度，打开氛围灯，为您创造一个可以享受咖啡的环境。,"打开导航,设置主驾空调温度为26度,设置副驾空调温度为26度,开启氛围灯,设置氛围灯颜色为黄色",,
我 30 分钟后回来，把狗先暂时留在车里,您去吧。我将会把空调设置为制冷，并将风速设置为 3 级。 万一电不够了，在关闭空调之前会先把窗户打开一点， 请放心。,"打开空调,设置空调风速3档,打开主驾车窗,关闭空调",,
今天的天气怎么样？,我们将为您提供您当前位置的天气信息。,"打开PM2.5空气净化器,关闭空调风扇,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色,打开导航",,
我想在附近吃午饭,好的。 为您搜索并显示附近的餐馆、咖啡馆等。,"打开导航,播放舒缓音乐",,
我想吃午饭,好的。 在导航系统中显示餐厅信息。,打开导航,,
我希望你安静,好的。 关闭车窗并调低音量。,关闭全部车窗，停止音乐,,
我需要提提神,空调的新鲜空气进气模式设置为开启。 清新的空气流入汽车，使乘坐舒适。,"打开同步模式,设置空气循环模式为外循环",,
挡风玻璃起雾了,天气变阴了吗？ 让我们打开前除霜器。,打开前除霜器,,
有点亮,好的。 将车内光线和环境光线设置为 40%。,"设置空气循环模式为内循环,设置前排调光玻璃调暗至40%,设置后排调光玻璃调暗至40%",,
加热你的饮料,打开饮料架的温度调节功能,打开饮料架温度调节功能，设置空调制热模式，设置空调风速2档，设置主驾空调温度26度，设置副驾空调温度26度,,
我想吃点零食,你想吃点零食吗？ 查找便利店和糖果店，并在导航系统中显示它们。,"打开导航,搜索附近便利店,搜索附近糖果店",,
这将是一次长途旅行，所以请有一个舒适的环境。,我们将提供舒适的环境。 我调整了座椅位置，打开了按摩功能，稍微降低了导航语音的音量，并打开了巡航控制和节能模式。,"主驾座椅往前调节,打开主驾座椅按摩,关闭同步模式,设置空调风速2档,设置主驾空调温度26度,设置副驾空调温度26度,设置空气循环模式为内循环,启动巡航控制,开启节能模式",,
往后移动座椅,好的。 将驾驶员座椅靠背向后调整 5 厘米。,"主驾座椅往后调节,调节距离5厘米",,
空气不好,好的。 将空气净化器设置为高。,"打开PM2.5空气净化器,设置空调风速7档",,
天很黑，看不清路,我将大灯设置为远光灯。,打开远光灯,,
打开大灯,好的。 打开大灯,打开前照灯,,
后视镜很难看清,关闭了后视镜的防眩光功能。,折叠左后视镜，折叠右后视镜,,
能见度差,由于天气恶劣，我们打开了大灯并启动了以下车间距警告系统和速度警告系统。,打开前照灯，启动同步模式,,
外面很黑,外面很黑。 打开大灯并启动以下车间距警告系统和速度警告系统。,打开前照灯，启动车间距警告系统，启动速度警告系统,,
遵守限速,好的。 将其设置为遵守速度限制。,打开导航,,
路很滑,增强牵引力控制系统。 现在，您可以安心驾驶。,"增强牵引力控制系统,打开自动调温模式",,
后车跟车很近,很近吗？ 打开 后方车辆接近警告。,打开后方车辆接近警告,,
留意交通信号灯,信号灯吗？给您打开信号识别辅助功能。,"开启同步模式,打开位置灯",,
打开后置监视器,好的。 打开后置监视器的显示。,"打开后右车窗,导航到目的地",,
巡航控制,好的。 启动巡航控制系统。,"启动同步模式,打开空调,关闭全部车窗",,
我前面的车突然停了下来,关上车窗，避免前车突然停下。 碰撞警告系统也开启，以确保安全。,关闭全部车窗，启动碰撞警告系统,,
自动泊车,好的。 自动泊车。,打开导航,,
检查周围环境,好的。 检查周围环境。,"打开导航,关闭全部车窗,设置主驾空调温度为26度,设置副驾空调温度为26度,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
左转辅助,您辛苦了！ 打开了左转支持功能。 我们将帮助您安全驾驶。,打开同步模式,,
右转辅助,您辛苦了！ 打开了右转支持功能。 我们将帮助您安全驾驶。,打开同步模式,,
开始导航,好的。 开始导航到您的目的地。,打开导航,,
调成节能模式,为您开启环保驾驶模式。,"启动同步模式,打开PM2.5空气净化器,设置空气循环模式为内循环",,
稍微关小一点空调,好的。 稍微降低空调的风速。,"设置空调风速2档,",,
我担心电费,显示电量监视器屏幕。 它还可以帮助您通过切换到节能驾驶模式来降低能耗。,打开电量监视器屏幕，启动同步模式，关闭自动调温模式，设置空调风速2档，开启节能驾驶模式,,
寻找最快的路线,好的。 将 navigation 设置为最快的路线。,打开导航，设置导航为最快路线。,,
想充电,好的。 搜索附近的充电站并将其显示在导航屏幕上。,打开导航，搜索附近充电站,,
剩余电量不足,确实剩余电量不多了。 将显示附近的充电站在导航屏幕上。,打开导航，设置导航到最近的充电站,,
你还能跑多久？,我们将在大约 5 公里内到达目的地,打开导航,,
检查轮胎压力,好的。 检查并显示轮胎压力。,检查轮胎压力,,
我赶时间，所以想走最快的路线,好的。 查找并导航到达目的地的最快路线。,打开导航,,
避免交通拥堵,好的。 将导航设置为避免交通拥堵的路线。,"打开导航,设置同步模式",,
现在的路线还可以吗？,是的，我又检查了路线。 现在这条路线是最快的。,打开导航,,
等待信号的时间好长,信号等待时间很长吗？ 我会搜索信号较少的路线，并将其显示在导航屏幕上。,打开导航，停止音乐,,
寻找停车位,好的。 搜索停车场并将其显示在导航屏幕上。,打开导航，搜索停车场,,
告诉我当前的发动机转速,好的。 显示发动机转速。,打开导航，启动同步模式,,
显示充电状态,显示充电状态。 它将显示在屏幕上，请确认。,显示充电状态，打开导航,,
切换到长途驾驶模式,好的。 切换到长途驾驶模式。,"启动同步模式,打开空调,设置主驾座椅自动通风加热,设置副驾座椅自动通风加热,设置空气循环模式为内循环,关闭氛围灯",,
打开空调,好的。 空调设置为 AUTO。,"打开自动调温模式,关闭同步模式",,
关闭遮阳帘,好的。 关闭遮阳帘。,关闭天窗，前排调光玻璃调暗，后排调光玻璃调暗,,
耀眼,阳光太刺眼。 关闭遮阳帘。,关闭天窗,,
窗户完全打开,好的。 将车窗完全打开。,打开全部车窗,,
提高后座的温度,后排座椅空调温度提高2度,"设置副驾空调温度,设置主驾空调温度",,
膝盖冷,我打开了脚下的暖气。,"打开空调制热模式,设置主驾出风口方向为吹脚,设置副驾出风口方向为吹脚",,
抬高座位,好的。 将座椅的倾斜度更改为 100 度。,"主驾座椅靠背往后调节,副驾座椅靠背往后调节",,
关闭音频,好的。 关闭音频。,停止音乐,,
座椅往后调,好的。 将驾驶员座椅往后移动 5厘米。,"主驾座椅往后调节,调节距离5厘米",,
令人放松的香味,调成令人放松的香味。,"打开车内香氛系统,设置香氛类型为令人放松的香味",,
打开阅读灯,好的。 打开阅读灯,打开阅读灯,,
预热副驾驶座椅,好的。 预热副驾驶座的颈部和座椅。,"打开副驾座椅加热模式1档,打开副驾座椅通风模式1档",,
打开前除霜器,好的。 打开前除霜器。,打开前除霜器,,
更改音频的音质,好的。 将音频均衡器设置为清除声音模式。,"设置自动调温模式,关闭同步模式,设置空调风速1档,将音频均衡器设置为清除声音模式",,
打开杯架的冷却,好的。 打开杯架的制冷功能。,打开杯架制冷功能,,
饮料变温了,如果饮料是温热的，打开杯架的制冷功能。,打开杯架的制冷功能,,
我想要有空间放我的行李。,副驾驶椅向前移动。 将有行李空间。,副驾座椅往前调节,,
后视镜起雾,要消除后视镜中的雾气，请打开除霜器,"展开左后视镜,展开右后视镜",,
这个速度还行吗？,打开速度辅助功能，以支持您的安全驾驶。,"启动同步模式,关闭同步模式",,
打开自动制动器,好的。 打开自动制动器。,打开自动制动器。,,
增强驾驶员辅助,开启车间距辅助功能和车道保持辅助功能。,"开启同步模式,启动同步模式",,
我担心变道。,别担心，打开变道辅助系统，因此您可以安全地变道。,"开启同步模式,启动导航",,
注意左侧的车辆,好的。 我打开了注意左边车辆的报警功能。,开启同步模式,,
下坡时速度过快,开启下坡辅助控制功能。 我会调整车速，所以请不用担心。,"打开下坡辅助控制功能, 设置空调风速1档, 关闭氛围灯",,
我担心前方会有下坡路,开启下坡辅助控制功能。会支持在斜坡上平稳行驶。,打开下坡辅助控制功能,,
打开后视摄像头,好的。 我打开了后置摄像头,打开后视摄像头,,
打开后视摄像头,好的。 打开后置摄像头。,打开后置摄像头,,
有测速摄像头吗？,是的。 打开测速摄像头的警告功能。,打开导航,,
有电子警察吗？,担心电子警察啊。 打开速度警报。,打开同步模式,,
打开危险信号灯,好的。 经打开危险信号灯。,打开位置灯,,
用相机检查周围环境,好的。 启动 360 度摄像头以查看周围环境。,"启动同步模式,打开空调制热模式,设置主驾出风口方向为吹脸+吹脚,设置副驾出风口方向为吹脸+吹脚,设置主驾座椅自动通风加热,设置副驾座椅自动通风加热,设置空气循环模式为内循环,设置氛围灯颜色为蓝色",,
